,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
21228,1.0,6.0,1.0,0.0,2.0,6.0
21229,1.0,36.0,1.0,0.0,0.0,16.0
21230,0.0,-13.0,0.0,0.0,1.0,71.0
21231,0.0,10.0,1.0,1.0,0.0,18.0
21232,3.0,-4.0,3.0,0.0,0.0,17.0
21233,2.0,0.0,2.0,0.0,0.0,7.0
21234,-1.0,0.0,0.0,1.0,0.0,1.0
21235,-1.0,26.0,0.0,1.0,1.0,34.0
21236,1.0,0.0,1.0,0.0,1.0,2.0
21237,-1.0,0.0,0.0,1.0,0.0,2.0
21238,0.0,21.0,2.0,2.0,2.0,13.0
21239,1.0,19.0,2.0,1.0,0.0,8.0
21240,1.0,93.0,2.0,1.0,2.0,71.0
21241,5.0,70.0,5.0,0.0,1.0,71.0
21242,1.0,-25.0,1.0,0.0,1.0,11.0
21243,2.0,-12.0,3.0,1.0,0.0,52.0
21244,1.0,0.0,1.0,0.0,1.0,27.0
21245,0.0,39.0,0.0,0.0,4.0,67.0
21246,-1.0,-8.0,0.0,1.0,0.0,9.0
21247,3.0,388.0,4.0,1.0,1.0,71.0
21248,1.0,10.0,1.0,0.0,1.0,63.0
21249,4.0,-4.0,4.0,0.0,0.0,71.0
21250,0.0,25.0,2.0,2.0,1.0,71.0
21251,0.0,126.0,2.0,2.0,1.0,19.0
21252,0.0,-4.0,1.0,1.0,1.0,31.0
21253,3.0,279.0,3.0,0.0,0.0,71.0
21254,1.0,-16.0,1.0,0.0,0.0,3.0
21255,1.0,21.0,1.0,0.0,0.0,14.0
21256,1.0,0.0,1.0,0.0,0.0,1.0
21257,1.0,24.0,1.0,0.0,0.0,27.0
21258,3.0,423.0,4.0,1.0,1.0,33.0
21259,1.0,-3.0,1.0,0.0,1.0,71.0
21260,2.0,20.0,2.0,0.0,0.0,34.0
21261,4.0,19.0,5.0,1.0,2.0,71.0
21262,1.0,-18.0,1.0,0.0,1.0,6.0
21263,4.0,48.0,4.0,0.0,2.0,71.0
21264,3.0,8.0,4.0,1.0,1.0,11.0
21265,-1.0,0.0,1.0,2.0,1.0,71.0
21266,-1.0,20.0,0.0,1.0,0.0,6.0
21267,-1.0,5.0,1.0,2.0,0.0,71.0
21268,2.0,-11.0,2.0,0.0,1.0,40.0
21269,3.0,79.0,3.0,0.0,2.0,71.0
21270,1.0,-10.0,1.0,0.0,2.0,30.0
21271,0.0,0.0,0.0,0.0,1.0,1.0
21272,5.0,30.0,7.0,2.0,2.0,39.0
21273,1.0,-37.0,1.0,0.0,0.0,6.0
21274,0.0,1.0,1.0,1.0,2.0,9.0
21275,6.0,-17.0,6.0,0.0,5.0,58.0
21276,2.0,-32.0,2.0,0.0,1.0,28.0
21277,0.0,-65.0,1.0,1.0,0.0,11.0
21278,0.0,0.0,0.0,0.0,1.0,1.0
21279,1.0,-134.0,1.0,0.0,0.0,71.0
21280,1.0,-37.0,3.0,2.0,5.0,71.0
21281,1.0,0.0,1.0,0.0,0.0,1.0
21282,0.0,-5.0,0.0,0.0,1.0,19.0
21283,1.0,0.0,1.0,0.0,0.0,1.0
21284,0.0,0.0,0.0,0.0,1.0,6.0
21285,1.0,31.0,2.0,1.0,1.0,20.0
21286,2.0,23.0,2.0,0.0,0.0,9.0
21287,1.0,-19.0,1.0,0.0,0.0,28.0
21288,1.0,136.0,3.0,2.0,4.0,18.0
21289,-3.0,158.0,2.0,5.0,7.0,50.0
21290,0.0,-14.0,0.0,0.0,1.0,38.0
21291,2.0,19.0,2.0,0.0,1.0,71.0
21292,0.0,71.0,1.0,1.0,0.0,71.0
21293,0.0,1.0,1.0,1.0,0.0,71.0
21294,1.0,-17.0,1.0,0.0,1.0,7.0
21295,2.0,-90.0,2.0,0.0,1.0,4.0
21296,1.0,0.0,1.0,0.0,1.0,3.0
21297,2.0,20.0,5.0,3.0,2.0,63.0
21298,1.0,-58.0,2.0,1.0,0.0,17.0
21299,0.0,-23.0,1.0,1.0,1.0,8.0
21300,0.0,0.0,0.0,0.0,1.0,1.0
21301,3.0,50.0,3.0,0.0,0.0,27.0
21302,1.0,8.0,1.0,0.0,0.0,14.0
21303,0.0,30.0,0.0,0.0,1.0,2.0
21304,-1.0,-4.0,0.0,1.0,2.0,9.0
21305,4.0,-9.0,4.0,0.0,0.0,66.0
21306,-1.0,10.0,0.0,1.0,0.0,11.0
21307,2.0,-5.0,3.0,1.0,0.0,47.0
21308,5.0,-11.0,5.0,0.0,6.0,19.0
21309,4.0,-7.0,4.0,0.0,2.0,71.0
21310,1.0,49.0,2.0,1.0,0.0,7.0
21311,2.0,-90.0,2.0,0.0,0.0,64.0
21312,1.0,-29.0,1.0,0.0,2.0,19.0
21313,1.0,49.0,1.0,0.0,0.0,4.0
21314,12.0,54.0,12.0,0.0,4.0,71.0
21315,0.0,-5.0,1.0,1.0,3.0,66.0
21316,1.0,-27.0,1.0,0.0,3.0,81.0
21317,4.0,-15.0,4.0,0.0,1.0,67.0
21318,1.0,0.0,1.0,0.0,1.0,2.0
21319,0.0,24.0,1.0,1.0,0.0,57.0
21320,2.0,-58.0,2.0,0.0,0.0,32.0
21321,4.0,-20.0,5.0,1.0,3.0,51.0
21322,0.0,33.0,0.0,0.0,1.0,71.0
21323,1.0,0.0,1.0,0.0,0.0,1.0
21324,2.0,-3.0,2.0,0.0,2.0,10.0
21325,1.0,0.0,1.0,0.0,2.0,4.0
21326,-1.0,-15.0,0.0,1.0,1.0,36.0
21327,2.0,-20.0,2.0,0.0,3.0,48.0
21328,2.0,52.0,2.0,0.0,1.0,12.0
21329,3.0,-9.0,3.0,0.0,0.0,20.0
21330,0.0,0.0,0.0,0.0,1.0,3.0
21331,2.0,19.0,2.0,0.0,0.0,46.0
21332,2.0,0.0,2.0,0.0,1.0,5.0
21333,3.0,15.0,3.0,0.0,1.0,19.0
21334,4.0,312.0,6.0,2.0,4.0,38.0
21335,0.0,0.0,0.0,0.0,1.0,1.0
21336,-1.0,0.0,0.0,1.0,0.0,2.0
21337,0.0,14.0,0.0,0.0,1.0,2.0
21338,7.0,5.0,7.0,0.0,1.0,26.0
21339,-1.0,0.0,0.0,1.0,1.0,3.0
21340,2.0,-28.0,2.0,0.0,0.0,22.0
21341,-1.0,-20.0,2.0,3.0,1.0,6.0
21342,1.0,0.0,1.0,0.0,0.0,4.0
21343,1.0,30.0,1.0,0.0,0.0,8.0
21344,-1.0,-19.0,0.0,1.0,0.0,56.0
21345,1.0,-14.0,2.0,1.0,0.0,71.0
21346,1.0,0.0,1.0,0.0,0.0,2.0
