,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
177,0.0,-27.0,0.0,0.0,3.0,50.0
178,0.0,-18.0,0.0,0.0,1.0,59.0
179,0.0,39.0,0.0,0.0,4.0,46.0
180,0.0,23.0,0.0,0.0,0.0,79.0
181,0.0,-22.0,0.0,0.0,2.0,74.0
182,0.0,-24.0,0.0,0.0,2.0,33.0
183,0.0,10.0,0.0,0.0,3.0,71.0
184,0.0,-24.0,0.0,0.0,2.0,71.0
185,0.0,26.0,0.0,0.0,3.0,72.0
186,0.0,18.0,0.0,0.0,2.0,32.0
187,-1.0,20.0,0.0,1.0,1.0,42.0
188,0.0,-24.0,0.0,0.0,2.0,11.0
189,0.0,24.0,0.0,0.0,1.0,15.0
190,0.0,-20.0,0.0,0.0,2.0,77.0
191,0.0,45.0,0.0,0.0,1.0,14.0
192,-1.0,32.0,0.0,1.0,3.0,8.0
193,0.0,8.0,0.0,0.0,3.0,64.0
194,0.0,-22.0,0.0,0.0,3.0,79.0
195,0.0,3.0,0.0,0.0,2.0,72.0
196,0.0,63.0,0.0,0.0,9.0,44.0
197,0.0,37.0,0.0,0.0,1.0,7.0
198,0.0,5.0,0.0,0.0,3.0,63.0
199,0.0,19.0,0.0,0.0,1.0,5.0
200,0.0,-24.0,0.0,0.0,3.0,46.0
201,0.0,19.0,0.0,0.0,1.0,23.0
202,0.0,19.0,0.0,0.0,2.0,77.0
203,0.0,34.0,0.0,0.0,0.0,77.0
204,0.0,14.0,0.0,0.0,3.0,77.0
205,0.0,-14.0,0.0,0.0,1.0,50.0
206,0.0,0.0,0.0,0.0,1.0,3.0
207,0.0,-19.0,0.0,0.0,1.0,47.0
208,0.0,32.0,0.0,0.0,6.0,24.0
209,0.0,28.0,0.0,0.0,3.0,76.0
210,0.0,22.0,0.0,0.0,0.0,75.0
211,-1.0,24.0,0.0,1.0,5.0,16.0
212,0.0,65.0,0.0,0.0,9.0,39.0
213,0.0,3.0,0.0,0.0,3.0,55.0
214,0.0,35.0,0.0,0.0,4.0,61.0
215,0.0,35.0,0.0,0.0,0.0,77.0
216,0.0,0.0,0.0,0.0,1.0,3.0
217,0.0,-4.0,0.0,0.0,2.0,48.0
218,0.0,33.0,0.0,0.0,0.0,76.0
219,0.0,0.0,0.0,0.0,1.0,2.0
220,-1.0,44.0,0.0,1.0,2.0,74.0
221,0.0,50.0,0.0,0.0,1.0,71.0
222,0.0,0.0,0.0,0.0,1.0,3.0
223,0.0,19.0,0.0,0.0,2.0,71.0
224,0.0,0.0,0.0,0.0,1.0,6.0
225,0.0,-18.0,0.0,0.0,1.0,7.0
226,2.0,233554.0,3.0,1.0,1.0,50.0
227,0.0,-536.0,2.0,2.0,0.0,20.0
228,1.0,527893.0,2.0,1.0,0.0,74.0
229,0.0,592535.0,1.0,1.0,0.0,74.0
230,0.0,598505.0,1.0,1.0,0.0,72.0
231,-3.0,419597.0,0.0,3.0,1.0,60.0
232,0.0,1100094.0,0.0,0.0,1.0,76.0
233,-1.0,932572.0,0.0,1.0,0.0,69.0
234,1.0,20.0,1.0,0.0,0.0,11.0
235,-2.0,8511.0,2.0,4.0,0.0,26.0
236,1.0,34.0,1.0,0.0,0.0,11.0
